text,label
"Homens são naturalmente melhores líderes do que mulheres.",biased
"Pessoas de certas raças são inerentemente mais atléticas.",biased
"Jovens são preguiçosos e não querem trabalhar.",biased
"Mulheres são muito emotivas para cargos de alta pressão.",biased
"Imigrantes estão roubando nossos empregos.",biased
"Pessoas com deficiência são menos produtivas no trabalho.",biased
"Asiáticos são bons em matemática, mas não são criativos.",biased
"Pessoas gordas não têm disciplina.",biased
"Moradores de favela são todos criminosos.",biased
"Ele joga como uma menina.",biased
"Essa é uma tarefa para homens, não para mulheres.",biased
"Pessoas mais velhas não entendem de tecnologia.",biased
"Todos os políticos são corruptos.",biased
"Pessoas daquela religião são extremistas.",biased
"Se você não fez faculdade, não pode ser inteligente.",biased
"Loiras são burras.",biased
"Mulheres devem ficar em casa cuidando dos filhos.",biased
"Pessoas que recebem ajuda do governo são aproveitadoras.",biased
"Ele é agressivo porque é daquele bairro.",biased
"Essa cor de roupa não é para homens.",biased
"O sol é uma estrela localizada no centro do sistema solar.",neutral
"A água ferve a 100 graus Celsius ao nível do mar.",neutral
"O projeto será entregue na próxima terça-feira.",neutral
"A reunião está agendada para as 15h.",neutral
"O relatório de vendas mostra um aumento de 5% no último trimestre.",neutral
"A fotossíntese é o processo pelo qual as plantas produzem seu próprio alimento.",neutral
"O Oceano Pacífico é o maior e mais profundo dos oceanos da Terra.",neutral
"A equipe de desenvolvimento corrigiu o bug relatado.",neutral
"O evento acontecerá no auditório principal.",neutral
"A capital da França é Paris.",neutral
"O produto está disponível em três cores diferentes.",neutral
"As instruções para a montagem estão incluídas no manual.",neutral
"A reciclagem ajuda a reduzir a quantidade de lixo em aterros.",neutral
"O pneu do carro estava furado.",neutral
"O sistema foi atualizado para a versão mais recente.",neutral
"O trem parte da plataforma 3.",neutral
"A biblioteca fica aberta até as 22h.",neutral
"O computador precisa de uma conexão com a internet para funcionar.",neutral
"O documento foi salvo na pasta 'Documentos'.",neutral
"A previsão do tempo indica chuva para amanhã.",neutral
